﻿"ID","Severity","Last Update","Initial Update","Count","Description",
"2528","Informational","05/06/2018 19:21","05/06/2018 19:21","1","Server power removed.",
"2527","Caution","05/06/2018 19:21","05/06/2018 19:21","1","Server reset.",
"2526","Caution","05/06/2018 19:21","05/06/2018 19:21","1","Power-Off signal sent to host server by: Administrator.",
"2525","Informational","05/06/2018 19:11","05/06/2018 19:11","22","Browser logout: System Administrator - 127.0.0.1(localhost).",
"2524","Informational","05/06/2018 19:11","05/06/2018 19:11","22","Browser login: System Administrator - 127.0.0.1(localhost).",
"2523","Informational","05/06/2018 19:10","05/06/2018 19:10","1","Embedded Flash/SD-CARD: Restarted.",
"2522","Informational","05/06/2018 19:09","05/06/2018 19:09","1","Server power restored.",
"2521","Caution","05/06/2018 19:09","05/06/2018 19:09","1","Server reset.",
"2520","Caution","05/06/2018 19:09","05/06/2018 19:09","1","Host server reset by: Administrator.",
"2519","Informational","05/06/2018 19:08","05/06/2018 19:08","1","Browser login: Administrator - 10.12.173.174(DNS name not found).",
"2518","Informational","05/06/2018 19:08","05/06/2018 19:08","22","Browser logout: System Administrator - 127.0.0.1(localhost).",
"2517","Informational","05/06/2018 19:08","05/06/2018 19:08","22","Browser login: System Administrator - 127.0.0.1(localhost).",
"2516","Informational","05/06/2018 19:07","05/06/2018 19:07","1","iLO network link up at 1000 Mbps.",
"2515","Informational","05/06/2018 19:07","05/06/2018 19:07","1","On-board clock set; was 01/01/1970  00:02:33.",
"2514","Informational","[NOT SET] ","[NOT SET] ","4","Embedded Flash/SD-CARD: Restarted.",
"2513","Caution","[NOT SET] ","[NOT SET] ","1","Server reset.",
"2512","Informational","[NOT SET] ","[NOT SET] ","1","APO: Last power state restored.",
"2511","Caution","[NOT SET] ","[NOT SET] ","1","Server reset.",
"2510","Caution","[NOT SET] ","[NOT SET] ","1","Power restored to iLO.",
"2509","Caution","[NOT SET] ","[NOT SET] ","1","Power restored to iLO.",
"2508","Caution","04/06/2018 02:21","04/06/2018 02:21","1","iLO network link down.",
"2507","Informational","04/06/2018 02:18","04/06/2018 02:18","1","Browser login: Administrator - 10.13.92.9(DNS name not found).",
"2506","Informational","04/06/2018 02:15","04/06/2018 02:15","22","Browser logout: System Administrator - 127.0.0.1(localhost).",
"2505","Informational","04/06/2018 02:15","04/06/2018 02:15","22","Browser login: System Administrator - 127.0.0.1(localhost).",
"2504","Informational","04/06/2018 02:13","04/06/2018 02:13","1","Embedded Flash/SD-CARD: Restarted.",
